bin,coef,ci_lower,ci_upper,model,outcome
1,0,0,0,1,PI0
2,1.7947019,.65659064,2.9328134,1,PI0
3,.82957339,-.047392339,1.7065392,1,PI0
4,1.0965649,.39594263,1.7971872,1,PI0
5,1.5503911,.49942347,2.6013587,1,PI0
1,0,0,0,2,PI0
2,-.1145663,-.54457122,.31543863,2,PI0
3,.088313088,-.4533512,.62997735,2,PI0
4,.90696323,.15323095,1.6606954,2,PI0
5,1.7488127,.79539955,2.7022259,2,PI0
1,0,0,0,3,PI0
2,-.0059363195,-.56746739,.55559474,3,PI0
3,.29330328,-.32247996,.90908653,3,PI0
4,1.1559736,.31434265,1.9976044,3,PI0
5,1.9805665,.91080189,3.0503311,3,PI0
1,0,0,0,4,PI0
2,-.13397188,-.63157058,.36362681,4,PI0
3,.15404406,-.36870676,.67679489,4,PI0
4,.71915436,-.018211188,1.45652,4,PI0
5,1.4508451,.55234271,2.3493476,4,PI0
1,0,0,0,5,PI0
2,-.13503833,-.63450527,.36442861,5,PI0
3,.15380752,-.37034956,.67796463,5,PI0
4,.71175587,-.042041965,1.4655538,5,PI0
5,1.4397029,.50001603,2.3793895,5,PI0
